"Прайс-лист от 2021-03-05 09:02";"";"";"dfcars.ru";""
"";"";"";"";""
"Каталожный номер";"Бренд";"Описание";"Наличие";"Цена"
"2132";"1-56 (Maruichi)";"Пыльник шруса внутренний";"1";"377,00"
"66421";"1-56 (Maruichi)";"Пыльник наружного щруса Япония РХ400Н";"1";"502,00"
"SB2932";"555";"Шаровая опора HARRIER CU10/15 RXI";"1";"1248,00"
"SB3752L";"555";"Шаровая опора левая RXII";"1";"1373,00"
"SB3752R";"555";"Шаровая опора правая RXII";"1";"1373,00"
"SB3841";"555";"Шаровая опора верхняя GX470 LX470 LC200";"2";"1248,00"
"SB3842";"555";"Шаровая опора нижняя GX470";"2";"1248,00"
"SBT172L";"555";"Шаровая опора левая CAMRY ACV40";"1";"1004,00"
"SBT172R";"555";"Шаровая опора правая CAMRY ACV40";"1";"1004,00"
"SBT402";"555";"Шаровая опора (LOW R/L) TOYOTA PRADO GRJ150(09-), LEXUS GRJ15, TRJ150(10-)";"2";"1248,00"
"SBT432L";"555";"Шаровая опора левая LEXUS RX III. IV";"1";"1622,00"
"SBT432R";"555";"Шаровая опора правая LEXUS RX III. IV";"1";"1622,00"
"SE3903";"555";"Наконечник рулевой тяги RXII";"1";"1248,00"
"SE6171L";"555";"Нак.рул.тяги лев. (Z)";"1";"450,00"
"SL2900L";"555";"Стойка стабилизатора левая Д";"1";"628,00"
"SL3750M";"555";"Тяга стабилизатора переднего левая /правая TOYOTA CAMRY/LEXUS RX330 с гайками";"6";"816,00"
"SL3755M";"555";"Стойка стабилизатора заднего, LEXUS RX300/330/350/400H (гайки в комплекте)";"6";"879,00"
"SLT270LM";"555";"Стойка стабилизатора левая GSIII IS250 с гайками";"1";"1373,00"
"SLT270RM";"555";"Стойка стабилизатора правая GSIII IS250 с гайками";"1";"1373,00"
"SLT275M";"555";"Тяга заднего стабилизатора IS250 GSIII";"2";"1373,00"
"SLT380LM";"555";"Стойка стабилизатора передняя левая IS250 с гайками";"2";"1223,00"
"SLT380RM";"555";"Стойка стабилизатора передняя правая  IS250 с гайками";"2";"1223,00"
"SLT455M";"555";"Стойка стабилизатора задняя TOYOTA CAMRY ACV40, AVV50";"2";"628,00"
"SR3901";"555";"Рулевая тяга RXII";"2";"1373,00"
"SRT270";"555";"Тяга рулевая. LEXUS GSIII IS250";"3";"879,00"
"SRT290";"555";"Рулевая тяга Lexus GS350AWD";"2";"565,00"
"YA178";"888";"Фильтр воздушный";"1";"377,00"
"CC220R";"ABRO";"Очиститель карбюратора-спрей + 20% 340 гр. (производство США)";"5";"320,00"
"CC220RU";"ABRO";"Очиститель карбюратора-спрей + 20% 340 гр. (производство США)";"5";"320,00"
"104016";"ACDelco";"Деталь";"10";"1803,00"
"104053";"ACDelco";"Деталь";"4";"1764,00"
"19374281";"ACDelco";"МАСЛО МОТОРНОЕ СИНТЕТИЧЕСКОЕ GM 5W-40, 1L";"20";"310,00"
"19374292";"ACDelco";"МАСЛО МОТОРНОЕ СИНТЕТИЧЕСКОЕ GM 5W-40 C3, 1L";"52";"398,00"
"3K334";"ACDelco";"Ремень гидроусилителя";"1";"450,00"
"55573868";"ACDelco";"Деталь";"4";"831,00"
"89021809";"ACDelco";"Деталь";"4";"1764,00"
"PF1250";"ACDelco";"Фильтр масляный, Нарушена упаковка";"1";"200,00"
"PF47E";"ACDelco";"Фильтр масляный (Бш)";"1";"180,00"
"A678P";"ADVICS";"Ремкомплект суппорта тормозного переднего RX300";"2";"2121,00"
"A687P";"ADVICS";"Ремкомплект суппорта переднего LEXUS RXII 04478-48160";"2";"1622,00"
"A6F106B";"ADVICS";"Диск тормозной пер. ADVICS LEXUS LX470";"2";"3473,00"
"A6F115B";"ADVICS";"Диск тормозной передний Lexus RXII";"6";"3119,00"
"A6F122B";"ADVICS";"Диск тормозной пер. ADVICS IS250";"6";"2745,00"
"A6F127B";"ADVICS";"Тормозной диск передний TOYOTA COROLLA E150";"2";"2745,00"
"A6F147B";"ADVICS";"Диск тормозной пер. ADVICS LEXUS RX GGL10 NX";"2";"3721,00"
"A6F153B";"ADVICS";"Диск тормозной передние  LEXUS LX570 (07-15) D - 340mm";"4";"4713,00"
"A6F158B";"ADVICS";"Тормозной диск передний LEXUS CT200H";"2";"2496,00"
